addr_hex,kind,x_idx,y_idx,z_idx,digital_root,theta_spoke_idx,theta_spoke_rad
0x000,lattice,0,0,0,0,0,0.000000
0x001,lattice,0,0,1,1,0,0.000000
0x002,lattice,0,0,2,2,0,0.000000
0x003,lattice,0,0,3,3,0,0.000000
0x004,lattice,0,0,4,4,0,0.000000
0x005,lattice,0,0,5,5,0,0.000000
0x006,lattice,0,0,6,6,0,0.000000
0x007,lattice,0,0,7,7,0,0.000000
0x000,lattice,0,0,8,0,0,0.000000
0x001,lattice,0,0,9,1,0,0.000000
0x008,lattice,0,1,0,8,0,0.000000
0x009,lattice,0,1,1,9,0,0.000000
0x00A,lattice,0,1,2,1,0,0.000000
0x00B,lattice,0,1,3,2,0,0.000000
0x00C,lattice,0,1,4,3,0,0.000000
0x00D,lattice,0,1,5,4,0,0.000000
0x00E,lattice,0,1,6,5,0,0.000000
0x00F,lattice,0,1,7,6,0,0.000000
0x008,lattice,0,1,8,8,0,0.000000
0x009,lattice,0,1,9,9,0,0.000000
0x010,lattice,0,2,0,7,0,0.000000
0x011,lattice,0,2,1,8,0,0.000000
0x012,lattice,0,2,2,9,0,0.000000
0x013,lattice,0,2,3,1,0,0.000000
0x014,lattice,0,2,4,2,0,0.000000
0x015,lattice,0,2,5,3,0,0.000000
0x016,lattice,0,2,6,4,0,0.000000
0x017,lattice,0,2,7,5,0,0.000000
0x010,lattice,0,2,8,7,0,0.000000
0x011,lattice,0,2,9,8,0,0.000000
0x018,lattice,0,3,0,6,0,0.000000
0x019,lattice,0,3,1,7,0,0.000000
0x01A,lattice,0,3,2,8,0,0.000000
0x01B,lattice,0,3,3,9,0,0.000000
0x01C,lattice,0,3,4,1,0,0.000000
0x01D,lattice,0,3,5,2,0,0.000000
0x01E,lattice,0,3,6,3,0,0.000000
0x01F,lattice,0,3,7,4,0,0.000000
0x018,lattice,0,3,8,6,0,0.000000
0x019,lattice,0,3,9,7,0,0.000000
0x020,lattice,0,4,0,5,0,0.000000
0x021,lattice,0,4,1,6,0,0.000000
0x022,lattice,0,4,2,7,0,0.000000
0x023,lattice,0,4,3,8,0,0.000000
0x024,lattice,0,4,4,9,0,0.000000
0x025,lattice,0,4,5,1,0,0.000000
0x026,lattice,0,4,6,2,0,0.000000
0x027,lattice,0,4,7,3,0,0.000000
0x020,lattice,0,4,8,5,0,0.000000
0x021,lattice,0,4,9,6,0,0.000000
0x028,lattice,0,5,0,4,0,0.000000
0x029,lattice,0,5,1,5,0,0.000000
0x02A,lattice,0,5,2,6,0,0.000000
0x02B,lattice,0,5,3,7,0,0.000000
0x02C,lattice,0,5,4,8,0,0.000000
0x02D,lattice,0,5,5,9,0,0.000000
0x02E,lattice,0,5,6,1,0,0.000000
