idx,F1_normal,F2_mod26_centered,F3_inverse_reverse,F1_mod20_signed,F1_mod60,F2_phase_tag14,F3_sign
0,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1
2,2,2,0,2,2,2,1
3,3,3,1,3,3,3,1
4,5,5,-1,5,5,4,-1
5,8,8,2,8,8,5,1
6,13,13,-3,-7,13,6,-1
7,21,-5,5,1,21,7,1
8,34,8,-8,-6,34,8,-1
9,55,3,13,-5,55,9,1
10,89,11,-21,9,29,10,-1
11,144,-12,34,4,24,11,1
12,233,-1,-55,-7,53,12,-1
13,377,13,89,-3,17,13,1
14,610,12,-144,10,10,0,-1
15,987,-1,233,7,27,1,1
16,1597,11,-377,-3,37,2,-1
17,2584,10,610,4,4,3,1
18,4181,-5,-987,1,41,4,-1
19,6765,5,1597,5,45,5,1
20,10946,0,-2584,6,26,6,-1
21,17711,5,4181,-9,11,7,1
22,28657,5,-6765,-3,37,8,-1
23,46368,10,10946,8,48,9,1
24,75025,-11,-17711,5,25,10,-1
25,121393,-1,28657,-7,13,11,1
26,196418,-12,-46368,-2,38,12,-1
27,317811,13,75025,-9,51,13,1
28,514229,1,-121393,9,29,0,-1
29,832040,-12,196418,0,20,1,1
30,1346269,-11,-317811,9,49,2,-1
31,2178309,3,514229,9,9,3,1
32,3524578,-8,-832040,-2,58,4,-1
33,5702887,-5,1346269,7,7,5,1
34,9227465,13,-2178309,5,5,6,-1
35,14930352,8,3524578,-8,12,7,1
36,24157817,-5,-5702887,-3,17,8,-1
37,39088169,3,9227465,9,29,9,1
38,63245986,-2,-14930352,6,46,10,-1
39,102334155,1,24157817,-5,15,11,1
40,165580141,-1,-39088169,1,1,12,-1
41,267914296,0,63245986,-4,16,13,1
42,433494437,-1,-102334155,-3,17,0,-1
43,701408733,-1,165580141,-7,33,1,1
44,1134903170,-2,-267914296,10,50,2,-1
45,1836311903,-3,433494437,3,23,3,1
46,2971215073,-5,-701408733,-7,13,4,-1
47,4807526976,-8,1134903170,-4,36,5,1
48,7778742049,13,-1836311903,9,49,6,-1
49,12586269025,5,2971215073,5,25,7,1
50,20365011074,-8,-4807526976,-6,14,8,-1
51,32951280099,-3,7778742049,-1,39,9,1
52,53316291173,-11,-12586269025,-7,53,10,-1
53,86267571272,12,20365011074,-8,32,11,1
54,139583862445,1,-32951280099,5,25,12,-1
55,225851433717,13,53316291173,-3,57,13,1
56,365435296162,-12,-86267571272,2,22,0,-1
57,591286729879,1,139583862445,-1,19,1,1
58,956722026041,-11,-225851433717,1,41,2,-1
59,1548008755920,-10,365435296162,0,0,3,1
60,2504730781961,5,-591286729879,1,41,4,-1
61,4052739537881,-5,956722026041,1,41,5,1
62,6557470319842,0,-1548008755920,2,22,6,-1
63,10610209857723,-5,2504730781961,3,3,7,1
64,17167680177565,-5,-4052739537881,5,25,8,-1
65,27777890035288,-10,6557470319842,8,28,9,1
66,44945570212853,11,-10610209857723,-7,53,10,-1
67,72723460248141,1,17167680177565,1,21,11,1
68,117669030460994,12,-27777890035288,-6,14,12,-1
69,190392490709135,13,44945570212853,-5,35,13,1
70,308061521170129,-1,-72723460248141,9,49,0,-1
71,498454011879264,12,117669030460994,4,24,1,1
72,806515533049393,11,-190392490709135,-7,13,2,-1
73,1304969544928657,-3,308061521170129,-3,37,3,1
74,2111485077978050,8,-498454011879264,10,50,4,-1
75,3416454622906707,5,806515533049393,7,27,5,1
76,5527939700884757,13,-1304969544928657,-3,17,6,-1
77,8944394323791464,-8,2111485077978050,4,44,7,1
78,14472334024676221,5,-3416454622906707,1,1,8,-1
79,23416728348467685,-3,5527939700884757,5,45,9,1
80,37889062373143906,2,-8944394323791464,6,46,10,-1
81,61305790721611591,-1,14472334024676221,-9,31,11,1
82,99194853094755497,1,-23416728348467685,-3,17,12,-1
83,160500643816367088,0,37889062373143906,8,48,13,1
84,259695496911122585,1,-61305790721611591,5,5,0,-1
85,420196140727489673,1,99194853094755497,-7,53,1,1
86,679891637638612258,2,-160500643816367088,-2,58,2,-1
87,1100087778366101931,3,259695496911122585,-9,51,3,1
88,1779979416004714189,5,-420196140727489673,9,49,4,-1
89,2880067194370816120,8,679891637638612258,0,40,5,1
90,4660046610375530309,13,-1100087778366101931,9,29,6,-1
91,7540113804746346429,-5,1779979416004714189,9,9,7,1
92,12200160415121876738,8,-2880067194370816120,-2,38,8,-1
93,19740274219868223167,3,4660046610375530309,7,47,9,1
94,31940434634990099905,11,-7540113804746346429,5,25,10,-1
95,51680708854858323072,-12,12200160415121876738,-8,12,11,1
96,83621143489848422977,-1,-19740274219868223167,-3,37,12,-1
97,135301852344706746049,13,31940434634990099905,9,49,13,1
98,218922995834555169026,12,-51680708854858323072,6,26,0,-1
99,354224848179261915075,-1,83621143489848422977,-5,15,1,1
100,573147844013817084101,11,-135301852344706746049,1,41,2,-1
101,927372692193078999176,10,218922995834555169026,-4,56,3,1
102,1500520536206896083277,-5,-354224848179261915075,-3,37,4,-1
103,2427893228399975082453,5,573147844013817084101,-7,33,5,1
104,3928413764606871165730,0,-927372692193078999176,10,10,6,-1
105,6356306993006846248183,5,1500520536206896083277,3,43,7,1
106,10284720757613717413913,5,-2427893228399975082453,-7,53,8,-1
107,16641027750620563662096,10,3928413764606871165730,-4,36,9,1
108,26925748508234281076009,-11,-6356306993006846248183,9,29,10,-1
109,43566776258854844738105,-1,10284720757613717413913,5,5,11,1
110,70492524767089125814114,-12,-16641027750620563662096,-6,34,12,-1
111,114059301025943970552219,13,26925748508234281076009,-1,39,13,1
112,184551825793033096366333,1,-43566776258854844738105,-7,13,0,-1
113,298611126818977066918552,-12,70492524767089125814114,-8,52,1,1
114,483162952612010163284885,-11,-114059301025943970552219,5,5,2,-1
115,781774079430987230203437,3,184551825793033096366333,-3,57,3,1
116,1264937032042997393488322,-8,-298611126818977066918552,2,2,4,-1
117,2046711111473984623691759,-5,483162952612010163284885,-1,59,5,1
118,3311648143516982017180081,13,-781774079430987230203437,1,1,6,-1
119,5358359254990966640871840,8,1264937032042997393488322,0,0,7,1
